0			
1	ハイデルベルグ		
2	ハイデルベルグ	6597 1	
3	ハイデルベルグ	6597 1	
4	ハイデルベルグ	6597 1	
5	ハイデルベルグ	6597 1	
6	ハイデルベルグ	6597 1	
7	ハイデルベルグ	6597 1	
8	ハイデルベルグ	6597 1	
9	ハイデルベルグ	6597 1	
10			
11	ここはハイデルベルグの街です		
12			
13	ＴＯＤ２フラグを変えますか？	6471 367	pagebreak
			
14	{Char:1000}	6471 16	
15	{03:0}{Num:40250} : ハイデルベルグ到着		linebreak
	{Num:40700} : {Char:02}の誘い		linebreak
	{Num:110500} : 戦いを終えて		linebreak
	{Num:40000} : 第４章		
16	時代を変更しました	6471 370	
17	変更しませんでした	6468 134	
18			
19	{184464c0}	6471 373	
20	子供	6474 58	
21	えい！　やぁ！		linebreak
	とぉ!!		
22	子供	6474 58	
23	ボク、ウッドロウさまみたいに		linebreak
	強くなりたくて		linebreak
	とっくんしてるんだ！		
24	子供	6474 58	
25	ボク、毎日とっくんしてるんだよ		linebreak
	早起きして体操したり		linebreak
	おフロで息を止める練習をしたり････		
26	子供	6474 58	
27	はやく、ウッドロウさまみたいに		linebreak
	強くなるんだ！		
28	子供	6474 58	
29	ボク、ウッドロウさまみたいに		linebreak
	強くなるんだ！		linebreak
	そのために、とっくんしてるの！		
30	子供	6474 58	
31	ウッドロウさまを助けに行かなきゃ！		linebreak
	よ～し、今こそ		linebreak
	とっくんのせいかを････		
32	{Char:04}	6481 269	
33	よせ、子供は危ない		linebreak
	おとなしく、ここで		linebreak
	じっとしていろ		
34	子供	6474 58	
35	いつも、ウッドロウさまに		linebreak
	守ってもらってるんだ		linebreak
	だから、こんどはボクが守るんだ！		
36	子供	6474 58	
37	ウッドロウさま、ケガしちゃったんだって		linebreak
	きっと、すごくイタいよね		linebreak
	タイヘンだよねって、パパにいったの		
38	子供	6474 58	
39	そしたらパパがね		linebreak
	「そのかわりに、パパやおまえが		linebreak
	　がんばらないとな」って！		
40	子供	6474 58	
41	だからね、ボク、がんばる！		linebreak
	おうちのお手伝いも、たくさんするよ！		
42	子供	6474 58	
43	ウッドロウさまより、強くなるとっくん		linebreak
	ちょっと、お休み！		linebreak
	今は、おうちのお手伝いをするの！		
44	子供	6474 58	
45	えい！　やぁ！　とぉ!!		
46	子供	6474 58	
47	ボク、ウッドロウさまみたいに	6597 23	linebreak
	強くなりたくて		linebreak
	とっくんしてるんだ！		
48	子供	6474 58	
49	ウッドロウさまね、すごいケガしたのに		linebreak
	もう元気になったんだよ！		linebreak
	だから、ぼくも負けないの！		
50	子供	6474 58	
51	ボクもはやく、ウッドロウさまみたいに		linebreak
	強くなりたいんだ！		linebreak
	だから、とっくんしてるの！		
52	子供	6474 58	
53	えい！　やぁ！	6597 21	linebreak
	とぉ!!		
54	子供	6474 58	
55	ボク、ウッドロウさまみたいに	6597 23	linebreak
	強くなりたくて		linebreak
	とっくんしてるんだ！		
56	子供	6474 58	
57	ボク、毎日とっくんしてるんだよ	6597 25	linebreak
	早起きして体操したり		linebreak
	おフロで息を止める練習をしたり････		
58	子供	6474 58	
59	はやく、ウッドロウさまみたいに	6597 27	linebreak
	強くなるんだ！		
60	子供	6474 58	
61	ボク、ウッドロウさまみたいに	6597 29	linebreak
	強くなるんだ！		linebreak
	そのために、とっくんしてるの！		
62	debug	6468 277	
63	このフラグでの会話未設定	6484 79	
64	女性	6471 240	
65	ウッドロウさまのようなお方でも		linebreak
	昔、失恋したことが		linebreak
	あるんですって		
66	女性	6471 240	
67	あんなにステキなお方を		linebreak
	振るなんて		linebreak
	もったいないわよねー！		
68	女性	6471 240	
69	ウッドロウさまを振るなんて		linebreak
	いったい、どんな人		linebreak
	だったのかしら････		
70	女性	6471 240	
71	あ～っ！		linebreak
	あなたたち、デートでしょ！		linebreak
	デートね！　そうでしょ！		
72	女性	6471 240	
73	いいなぁ････		linebreak
	ぐっすん････		
74	女性	6471 240	
75	あたしも、早くいい人を探さないと		linebreak
	ひとり者に、この寒さは		linebreak
	キビシイわ････		
76	女性	6471 240	
77	さっきの爆発音････		linebreak
	なんだか、事件の予感がするわ		linebreak
	あたしの女のカンが、そう言ってるもの		
78	{Char:03}	6470 55	
79	俺の男のカンも		linebreak
	そう言ってるぜ		linebreak
	とにかく、急ごうぜ！		
80	女性	6471 240	
81	さっきの爆発音････	6597 77	linebreak
	なんだか、事件の予感がするわ		linebreak
	あたしの女のカンが、そう言ってるもの		
82	女性	6471 240	
83	ねぇ、聞いた!?		linebreak
	ウッドロウさまが		linebreak
	おそわれたんですって！		
84	女性	6471 240	
85	あのウッドロウさまに		linebreak
	ケガさせるなんて････		linebreak
	とんでもないヤツが、来たってこと!?		
86	{Char:03}	6470 55	
87	たしかに、とんでもないヤツだな		linebreak
	バルバトスも、エルレインも････！		
88	女性	6471 240	
89	あのウッドロウさまに	6597 85	linebreak
	ケガさせるなんて････		linebreak
	とんでもないヤツが、来たってこと!?		
90	debug	6468 277	
91	この時系列、私は城にいるはずです		
92	女性	6471 240	
93	ウッドロウさまのようなお方でも	6597 65	linebreak
	昔、失恋したことが		linebreak
	あるんですって		
94	女性	6471 240	
95	あんなにステキなお方を	6597 67	linebreak
	振るなんて		linebreak
	もったいないわよねー！		
96	女性	6471 240	
97	ウッドロウさまを振るなんて	6597 69	linebreak
	いったい、どんな人		linebreak
	だったのかしら････		
98	debug	6468 277	
99	このフラグでの会話未設定	6484 79	
100	おじさん	6471 290	
101	ウハハハ！		linebreak
	どうした、兄ちゃん！		linebreak
	なァに、カタい顔してんだよ		
102	{Char:01}	6468 29	
103	英雄王に会うために		linebreak
	セインガルドから来たんだけど		linebreak
	キンチョーしちゃって････		
104	おじさん	6471 290	
105	キンチョーしなくてもいいさ		linebreak
	ウッドロウさまは		linebreak
	きさくなお方だからなぁ！		
106	おじさん	6471 290	
107	キンチョーしてるときは		linebreak
	とにかく笑ってリラックスだ！		linebreak
	ウハハハ！		
108	おじさん	6471 290	
109	ウハハハ！		linebreak
	おじょうちゃん、デートかい!?		linebreak
	こりゃ、寒さも吹き飛ぶね！		
110	{Char:02}	6471 14	
111	そ、そんな大声で		linebreak
	言わないでくださいよ！		
112	おじさん	6471 290	
